age,gender,norm_educ,norm_income,party,prefsep_welfare,welfare_support
58,Hombre,0.9,0.5,cons,0,Mantener o Reducir
58,Hombre,0.7,1,cons,0,Mantener o Reducir
27,Hombre,0.8,0.75,cons,0,Mantener o Reducir
57,Mujer,0.3,0.5,cons,-1,Mantener o Reducir
46,Hombre,0.6,0.5,lib,-1,Mantener o Reducir
49,Mujer,0.4,0.75,ndp,0,Mantener o Reducir
18,Hombre,0.3,NA,lib,1,Aumentar
28,Mujer,0.6,0.5,lib,0,Mantener o Reducir
45,Mujer,0.7,1,cons,0,Mantener o Reducir
20,Mujer,0.4,0.5,ndp,0,Mantener o Reducir
29,Mujer,0.8,0.5,ndp,0,Mantener o Reducir
68,Mujer,0.4,0.5,ndp,0,Mantener o Reducir
65,Mujer,0.5,0.25,other,1,Aumentar
19,Hombre,0.5,1,cons,-1,Mantener o Reducir
58,Mujer,0.3,NA,cons,1,Aumentar
57,Hombre,0.6,0.5,cons,0,Mantener o Reducir
56,Hombre,0.6,0.75,cons,0,Mantener o Reducir
33,Mujer,0.4,0.5,ndp,0,Mantener o Reducir
76,Hombre,0.4,0.25,cons,-1,Mantener o Reducir
76,Mujer,0.7,0,cons,1,Aumentar
32,Hombre,0.4,0.25,other,1,Aumentar
20,Hombre,0.4,1,ndp,0,Mantener o Reducir
19,Mujer,0.7,1,cons,1,Aumentar
83,Hombre,0.8,1,ndp,0,Mantener o Reducir
21,Mujer,0.7,0.75,lib,0,Mantener o Reducir
33,Mujer,0.7,NA,cons,0,Mantener o Reducir
69,Hombre,0.6,0.5,ndp,0,Mantener o Reducir
31,Hombre,0.8,0.25,cons,0,Mantener o Reducir
49,Hombre,0.6,1,cons,-1,Mantener o Reducir
57,Hombre,0.7,0.5,cons,0,Mantener o Reducir
49,Mujer,0.4,0.75,ndp,-1,Mantener o Reducir
21,Hombre,0.7,0,cons,0,Mantener o Reducir
66,Hombre,1,0.25,cons,0,Mantener o Reducir
35,Mujer,0.8,1,other,1,Aumentar
45,Hombre,0.8,1,cons,0,Mantener o Reducir
75,Mujer,0.5,0,cons,1,Aumentar
36,Mujer,0.8,0.75,cons,1,Aumentar
54,Hombre,0.6,1,cons,0,Mantener o Reducir
63,Mujer,1,0.25,cons,-1,Mantener o Reducir
63,Mujer,0.4,0,ndp,0,Mantener o Reducir
66,Mujer,0.8,0.75,lib,1,Aumentar
35,Hombre,0.8,1,cons,0,Mantener o Reducir
61,Mujer,0.8,1,cons,0,Mantener o Reducir
48,Hombre,0.8,1,cons,1,Aumentar
55,Hombre,0.5,0.25,cons,-1,Mantener o Reducir
44,Mujer,0.7,0.5,ndp,1,Aumentar
62,Mujer,0.9,0.5,cons,-1,Mantener o Reducir
18,Mujer,0.4,NA,lib,1,Aumentar
72,Hombre,0.6,0.25,cons,0,Mantener o Reducir
20,Hombre,0.7,0,lib,1,Aumentar
27,Mujer,0.6,0,other,1,Aumentar
28,Mujer,0.9,0,cons,1,Aumentar
70,Hombre,0.8,1,cons,0,Mantener o Reducir
68,Mujer,0.6,0,cons,0,Mantener o Reducir
65,Hombre,0.5,0.5,cons,0,Mantener o Reducir
49,Hombre,0.8,0.5,lib,0,Mantener o Reducir
53,Hombre,0.8,0.5,lib,-1,Mantener o Reducir
27,Hombre,0.8,0.25,cons,1,Aumentar
22,Mujer,0.4,0.25,lib,0,Mantener o Reducir
39,Mujer,0.8,0,cons,0,Mantener o Reducir
27,Mujer,0.8,1,cons,1,Aumentar
57,Mujer,0.5,0.25,cons,0,Mantener o Reducir
29,Hombre,0.6,0.25,cons,-1,Mantener o Reducir
59,Mujer,0.3,0,cons,0,Mantener o Reducir
