AÑO,MES,CONGLOME,VIVIENDA,HOGAR,UBIGEO,DOMINIO,ESTRATO,P700I,P701$01,P701$02,P701$03,P701$04,P701$05,P701$10,P701$06,P701$07,P701$08,P701$09,P710I,P710$01,P710$02,P710$03,P710$04,P710$05,P710$06,P710$07,P710$08,P710$10,P710$11,P710$12,P710$13,P710$14,P710$15,P710$20,P710$21,P710$28,P710$29,P710$33,P710$34,TICUEST01,FACTOR
2025,07,015094,046,11,010506,4,8,01,1,0,1,1,0,0,0,0,0,0,01,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,400.729552933584
2025,07,015098,006,11,010506,4,6,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,2,400.729552933584
2025,07,015098,024,11,010506,4,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015098,032,11,010506,4,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015098,050,11,010506,4,6,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,400.729552933584
2025,07,015098,067,11,010506,4,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015098,076,11,010506,4,6,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015098,085,11,010506,4,6,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015104,005,11,010113,4,7,01,1,0,0,0,0,0,0,0,0,0,01,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015104,006,11,010113,4,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,400.729552933584
2025,07,015104,007,11,010113,4,7,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015104,066,11,010113,4,7,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,400.729552933584
2025,07,015104,068,11,010113,4,7,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,400.729552933584
2025,07,015104,069,11,010113,4,7,02,0,0,0,0,0,0,0,0,0,1,02,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,400.729552933584
2025,07,015113,053,11,010205,7,7,01,0,0,1,1,0,0,0,0,0,0,01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015113,054,11,010205,7,7,01,0,0,1,1,0,0,0,0,0,0,01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015113,055,11,010205,7,7,01,0,0,1,1,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015113,056,11,010205,7,7,01,0,0,1,1,0,0,0,0,0,0,02,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015113,134,11,010205,7,7,01,0,0,1,1,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015113,135,11,010205,7,7,02,0,0,1,1,0,0,0,0,0,0,02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015113,136,11,010205,7,7,02,0,0,1,1,0,0,0,0,0,0,02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015113,137,11,010205,7,7,02,0,0,1,1,0,0,0,0,0,0,02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015116,005,11,010602,7,7,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,341.120468210441
2025,07,015116,006,11,010602,7,7,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,341.120468210441
2025,07,015116,007,11,010602,7,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,341.120468210441
2025,07,015116,008,11,010602,7,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,341.120468210441
2025,07,015116,077,11,010602,7,7,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,2,341.120468210441
2025,07,015116,078,11,010602,7,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,341.120468210441
2025,07,015116,079,11,010602,7,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,341.120468210441
2025,07,015116,080,11,010602,7,7,01,0,0,1,0,0,0,0,0,0,0,01,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,341.120468210441
2025,07,015132,017,11,010403,7,7,01,1,0,1,1,0,0,0,0,0,0,01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015132,018,11,010403,7,7,02,0,0,1,1,0,0,0,0,0,0,02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,301.571612719014
2025,07,015132,019,11,010403,7,7,01,1,0,1,1,0,0,0,0,0,0,01,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015132,020,11,010403,7,7,01,0,0,0,0,0,0,0,0,0,1,01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,301.571612719014
2025,07,015132,113,11,010403,7,7,02,1,0,1,1,0,0,0,0,0,0,02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,301.571612719014
